,0.975],P>|t|,[0.025,coef,std err,t
A,0.001,0.036000000000000004,1.83e-05,0.0003,0.0,2.207
B,-1.83e-05,0.036000000000000004,-0.001,-0.0003,0.0,-2.207
C,0.0,0.012,4.72e-05,0.0002,7.42e-05,2.6919999999999997
E,0.001,0.036000000000000004,1.9e-05,0.0003,0.0,2.211
F,-2.13e-05,0.035,-0.001,-0.0003,0.0,-2.23
G,0.0,0.013000000000000001,4.72e-05,0.0002,7.55e-05,2.681
AG,-2.08e-05,0.031,-0.0,-0.0002,9.379999999999999e-05,-2.278
AK,-6.11e-06,0.045,-0.001,-0.0003,0.0,-2.104
AL,0.001,0.017,8.209999999999999e-05,0.0004,0.0,2.5540000000000003
AM,0.004,0.0,0.002,0.0028,0.001,5.654
AN,-3.9e-05,0.044000000000000004,-0.003,-0.0014,0.001,-2.115
AQ,0.006999999999999999,0.011000000000000001,0.001,0.0042,0.002,2.748
AS,0.005,0.008,0.001,0.0028,0.001,2.897
AW,0.002,0.0,0.001,0.0014,0.0,4.827
BK,-9.41e-05,0.034,-0.002,-0.0011,0.001,-2.239
EG,-3.74e-05,0.034,-0.001,-0.0005,0.0,-2.2319999999999998
EV,0.001,0.002,0.0,0.0005,0.0,3.4010000000000002
EY,-3.289999999999999e-05,0.01,-0.0,-0.0001,4.46e-05,-2.7939999999999996
FG,0.001,0.003,0.0,0.0004,0.0,3.301
FP,-0.0,0.019,-0.001,-0.0006,0.0,-2.491
FR,-0.0,0.013000000000000001,-0.001,-0.0006,0.0,-2.661
FS,-0.0,0.013999999999999999,-0.001,-0.0007,0.0,-2.642
FU,0.001,0.013000000000000001,0.0,0.0006,0.0,2.657
FZ,0.001,0.006,0.0,0.0003,0.0,2.975
GA,0.001,0.001,0.0,0.0004,0.0,3.7460000000000004
GF,0.001,0.005,0.0,0.0003,9.91e-05,3.0789999999999997
GG,0.001,0.006999999999999999,0.0,0.0004,0.0,2.958
GJ,0.001,0.016,8.53e-05,0.0004,0.0,2.571
GK,-5.22e-05,0.027999999999999997,-0.001,-0.0005,0.0,-2.323
GL,-0.001,0.003,-0.004,-0.0026,0.001,-3.253
GO,-9.73e-05,0.013000000000000001,-0.001,-0.0004,0.0,-2.654
GU,-0.0,0.03,-0.006999999999999999,-0.0035,0.002,-2.295
GV,-0.001,0.019,-0.008,-0.0041,0.002,-2.501
GW[T.21.8],-0.0,0.048,-0.027000000000000003,-0.0135,0.006,-2.335
GX,-0.001,0.006,-0.006999999999999999,-0.0039,0.001,-3.0269999999999997
GY,-0.001,0.005,-0.006999999999999999,-0.004,0.001,-3.057
HC,0.001,0.002,0.0,0.0005,0.0,3.512
HF,-0.0,0.006,-0.002,-0.001,0.0,-2.998
HU,-0.001,0.0,-0.002,-0.0012,0.0,-5.619
HW,0.001,0.005,0.0,0.0005,0.0,3.092
IA,-0.002,0.004,-0.009000000000000001,-0.0055,0.002,-3.139
IB,-0.002,0.002,-0.01,-0.0063,0.002,-3.3819999999999997
IC,0.001,0.036000000000000004,2.45e-05,0.0003,0.0,2.213
IO,0.004,0.023,0.0,0.0021,0.001,2.411
IQ,0.001,0.021,5.4600000000000006e-05,0.0003,0.0,2.465
IR,-2.9100000000000003e-05,0.038,-0.001,-0.0005,0.0,-2.1830000000000003
LE,-1.21e-05,0.039,-0.0,-0.0002,0.0,-2.173
LW,0.001,0.004,0.0,0.0006,0.0,3.188
MJ,-1.4300000000000002e-05,0.040999999999999995,-0.001,-0.0003,0.0,-2.151
MM,0.003,0.034,0.0,0.0014,0.001,2.241
MS,-0.0,0.027000000000000003,-0.005,-0.0025,0.001,-2.3369999999999997
NI,-0.001,0.019,-0.01,-0.0055,0.002,-2.503
PG,0.004,0.0,0.002,0.003,0.001,4.335
QH,-0.001,0.001,-0.002,-0.0016,0.0,-3.582
QK,-0.0,0.024,-0.002,-0.001,0.0,-2.401
RR,0.0,0.027999999999999997,1.92e-05,0.0002,7.04e-05,2.3280000000000003
SU,0.002,0.006,0.0,0.0013,0.0,2.9739999999999998
UL,0.002,0.02,0.0,0.0013,0.001,2.4819999999999998
VC,0.005,0.011000000000000001,0.001,0.0028,0.001,2.758
YZ,0.001,0.0,0.0,0.0006,0.0,4.266
ZA,4.19e-06,0.042,8.339999999999999e-08,2.135e-06,9.98e-07,2.1390000000000002
ZC,4.1899999999999995e-05,0.012,5.57e-06,2.374e-05,8.84e-06,2.6860000000000004
ZD,0.011000000000000001,0.036000000000000004,0.0,0.0057,0.003,2.2119999999999997
ZN,0.001,0.032,4.46e-05,0.0005,0.0,2.262
AAO,0.001,0.002,0.0,0.0005,0.0,3.509
AAP,0.009000000000000001,0.037000000000000005,0.0,0.0045,0.002,2.194
AAW,0.001,0.013000000000000001,0.0,0.0008,0.0,2.681
AAX,0.001,0.022000000000000002,7.79e-05,0.0005,0.0,2.4419999999999997
AAY,0.001,0.013999999999999999,9.2e-05,0.0004,0.0,2.645
AABA,0.003,0.046,2.8100000000000002e-05,0.0016,0.001,2.0909999999999997
ABB,0.001,0.019,0.0,0.0008,0.0,2.495
ABC,0.001,0.009000000000000001,0.0,0.0008,0.0,2.824
ABD,0.001,0.023,8.51e-05,0.0006,0.0,2.421
ABJ,0.001,0.009000000000000001,0.0,0.0005,0.0,2.805
ABR,-0.0,0.002,-0.0,-0.0002,7.03e-05,-3.51
ADD,0.001,0.0,0.001,0.0008,8.58e-05,9.276
ADF,0.001,0.0,0.001,0.0011,0.0,5.973
ADH,0.001,0.0,0.001,0.001,0.0,8.984
ADV,0.001,0.012,8.6e-05,0.0004,0.0,2.713
AFG,-0.0,0.026000000000000002,-0.005,-0.0028,0.001,-2.3609999999999998
AFQ,-0.0,0.012,-0.003,-0.0017,0.001,-2.6910000000000003
AFR,0.002,0.039,4.33e-05,0.0008,0.0,2.177
AGS,-4e-06,0.047,-0.001,-0.0003,0.0,-2.083
AGU,0.001,0.001,0.0,0.0008,0.0,3.8569999999999998
AHE,-0.0,0.022000000000000002,-0.001,-0.0007,0.0,-2.437
AHF,-0.0,0.013999999999999999,-0.001,-0.0008,0.0,-2.65
AHG,-6.620000000000001e-05,0.027000000000000003,-0.001,-0.0006,0.0,-2.3369999999999997
AHI,-4.71e-05,0.026000000000000002,-0.001,-0.0004,0.0,-2.358
AHL,0.001,0.034,2.17e-05,0.0003,0.0,2.241
AIB,-1.62e-05,0.04,-0.001,-0.0003,0.0,-2.1630000000000003
